Rent_Ratio,Loan_Repayment_Ratio,Insurance_Ratio,Groceries_Ratio,Transport_Ratio,Eating_Out_Ratio,Entertainment_Ratio,Utilities_Ratio,Healthcare_Ratio,Education_Ratio,Miscellaneous_Ratio,Savings_Ratio,Financial_Status
0.29999327930636954,0.0,0.0494304805243576,0.14917180657658982,0.05907424053868626,0.037004177800371435,0.0344140791369723,0.0652308783307242,0.03465446230380624,0.0,0.018628085262657697,0.2523761079073635,2
0.19999255387178597,0.0,0.03237288445505103,0.1049324940746189,0.057447578279427945,0.02417676306023192,0.03910117316691039,0.060542359252541915,0.04234431895539763,0.05777164827379202,0.021006831030146837,0.36027416493902514,2
0.14999702195445452,0.0915670263022214,0.04371373887156865,0.1253404193039411,0.06395643472956523,0.030054721055747757,0.03421391009413138,0.0668761245629366,0.04325146276548819,0.06273801496243432,0.012475454083236057,0.275795817677305,2
0.19999196021384721,0.12512356970245211,0.025562788301842117,0.12197680810007734,0.05130007303072581,0.02785091364978036,0.026538805536486063,0.043924930421252534,0.04699640176270467,0.05809612560409134,0.02072296286823533,0.25187446187774126,2
0.19999196031943858,0.0,0.041735227794058166,0.1306475328086016,0.07075581410288109,0.04217083605877822,0.030189676430078378,0.04117561652903824,0.04109464384237602,0.08055165127407307,0.01616851488465551,0.305478327553214,2
0.2999854423580584,0.17287145584044883,0.04942755875580785,0.14882118289947652,0.05681317100043022,0.03338842917016729,0.020294993787266007,0.044703253467766095,0.040287645901830385,0.09410188572013728,0.021645694155418074,0.01761076147005445,0
0.19999568088571676,0.0,0.04600407021886184,0.10939511032804589,0.05399011299544464,0.044061674694393115,0.02195434217728287,0.06360832081840209,0.03562745621392109,0.06664374220241205,0.01985784394516233,0.338840049948941,2
0.14999275636049184,0.0,0.049825778372720744,0.14667251233660786,0.07046974997157555,0.02179906858959399,0.037922366775658516,0.07475798166439761,0.03955503708760139,0.0,0.019800561586822356,0.38915589632447567,2
0.1999903239340724,0.0,0.036500470479813564,0.12566301012470157,0.054332950821920675,0.04252047950497316,0.031115834053263333,0.06816328300883927,0.049311461852592116,0.0728780290056959,0.02340695754193703,0.296068819342553,2
0.29999176010328676,0.125884975981723,0.026663943876707615,0.12869820796111872,0.06875079859264636,0.03650169796747871,0.022601575542814462,0.06415971841251276,0.03168921705196408,0.05328818660158789,0.015659197939403784,0.1260832536463785,1
0.14997689825664307,0.0,0.028375615830846232,0.1471580167478338,0.07620867658424658,0.04762650605331369,0.03539586071742594,0.07267339406643235,0.0342904440839567,0.0908742557336886,0.027581833955921835,0.28968448634731164,2
0.19997350590781668,0.0,0.0437402639478749,0.13680587924753385,0.0752744895811077,0.0352952209583091,0.03675598990764395,0.06763880861683531,0.03122494162646302,0.06914644550947592,0.017683020938462284,0.2863289632975605,2
